Ulasan,Learnability,Efficiency,Errors,Satisfaction,
"Selalu error ga jelas, ujung ujung ga ke pakai saldo di apps. Mengecewakan",0,0,1,0,
Ini store nya apakah di Jakarta aja ko di Bandung ga ada ya pilihan di aplikasi,0,0,1,0,
Berkali-kali reset Pasword selalu ditolak dan gagal,0,0,1,0,
"untuk promo e-voucher diperbanyak, dn kalau bisa buat fitur dimana sisa saldo bisa kita tarik, seperti apk D*na/Ov* dll serta bebas topup tanpa minimal nominal berapa pun itu akan sangat bagus,",0,0,1,0,
"JANGAN PAKE APLIKASI INI SAYA DAFTAR SMPE KIAMAT GA PERNAH BISA, UDAH INI APLIKASI BEJAT BANGSATT ANJINGGGGGG",0,0,1,0,
Starbucks Alauddin Makassar kurang memuaskan pelayanannya..kita sebagai kastemer di anggap bukan pembelinya...sampai sampai strum buat cas hp d lepas sampai aliran listrikx d matikan.namanya saja resto besar biar cas tidak boleh,0,0,0,0,
sering mengalami error dan lambat kalau dibuka. harus hapus cache dulu.,0,0,1,0,
Kapok sama barista di starbucks benhil. Sangat tidak ramah. Parah bgt pelayanannya,0,0,0,0,
Sangat Baik,0,0,0,1,
"Aduhh kalau belum siap jgn di release dulu, sudah pake 2 nomor dan 2 email msh gak bisa log in... ITx payaahhhh sekelas starbucks... trm ksh sudah di respon.. move five stars",0,0,1,0,
otp nya lama banget. waktu nya udah abis 5 menit kemudian baru muncul notif nya gimana si ini,0,0,1,0,
Sy tidak bisa loging sy pake hp oppo f11 ga bisa sign in,0,0,1,0,
Mantaaapppp,0,0,0,1,
Pakai 2 email 2 nomer hp..tetap invalid....bener2 gak worth it....tolong di upgrade dong aplikasinya 🥲,0,0,1,0,
"Mau login kembali gak bisa, justru di tulis password dan username invalid padahal udh daftar",0,0,1,0,
"Selemot ini, buat gunain aplikasinya 😔.",0,1,1,0,
Mau sign in gak bisa-bisa👎,0,0,1,0,
"Udah register dan udh dapat confirmasi dari email tp pas sign in blg email sm password salah, gmn sih??",0,0,1,0,
"Padahal sudah daftar tapi gak bisa sign in, udh daftar pake 3 nomor sma 3 email tapi ttp aja gak bsa sign in keterangannya invalid mulu. Ini apk mending di apus aja gak guna :)",0,0,1,0,
"Perusahaan Besar Aplikasi Lemot nya Minta Ampun , Lokasi ga Update, Maaf Uninstall Segera",0,1,1,0,
"Ga bisa login, padahal email dan password yang di masukkan sudah betul",0,0,1,0,
susah ribet nnti coba lagi klo g mager,1,0,0,0,
Sumpah aplikasinya berat banget kynya yaa. Buka lama banget. Cuma logo yng muncul. SEJAM LEBIH WOOYY.. ..,0,1,1,0,
Bru instal aja gk bsa sign in hadeeh.. capedeh,0,0,1,0,
"Saya tidak terima inbox sama sekali, terakhir terima inbox promo di bulan sept... Pdahl sdah coba hapus instal lagi ttep ja aplikasi gk ada inbox baru.. ini kenapa yh?",0,0,1,0,
Ga bisa sign up :) terus gmn,0,0,1,0,
"Ketika ada reward harusnya diingetin percuma juga ngumpul2in point kalo ga dipake, kadang costumer kan ga cek punya reward/lupa. Terutama di outlet crbn 👌",0,0,0,0,
Byk rewards dan simple pakainya,1,0,0,0,
ribet,1,0,0,0,
"Posisi saya di kota cimahi, tp pilihan outlet nya malah jakarta semua ga bisa pilih terdekat gimana mau order nya ini",0,0,1,0,
Kocak gabisa di buka,0,0,1,0,
"Saya sangat senang sekali dengan pelayanan chacha di Starbucks TSM cibubur. To helpfull on 22 dec 2022 at 10:47 am. If i can give rating about of customer satisfactios, i give for her 98100%. Thanks cha :)",0,0,0,0,
battle of the best bijak Potoajengposisidimana,0,0,0,0,
Aplikasi ribet,1,0,0,0,
🥰,0,0,0,1,
"Kenapa mau di pakai malahan g bisa di buka ini aplikasi. ..saldo gue masih banyak , tolong dong ya !!!! Duh bukannya bikin praktis malahan bikin ribet",0,1,1,0,
"Error sekali tapi jangan lupa kebaikan yang lainnya. Banya promo, banyak point, banyak free. Nongki ternyaman daripada tempat lainnya. Apalagi menu ADL ice sama Salted caramel,,top dahh",0,0,1,0,
Tempat meetup dan meeting yg nyaman sepanjang kenal starbucks. Thanks Starbucks,0,0,0,0,
Bagus 👍,0,0,0,1,
Aplikasi tidak bisa di buka. Gimana nasib dana saya yg ada? Terpaksa bayar dengan Cash karena ramai. Bayangkan jika tidak ada cash. Tolong perbaiki lah..,0,1,1,0,
aplikasi nggak bisa di buka,0,0,1,0,
Mayan buat dapet promo sbux dan kumpulin poin hanya saja loading agak lama,0,1,1,0,
The apps UI looks messed up on my phone,0,0,1,0,
Apk gbsa di donlot! Payah,0,0,1,0,
"Hallo, saya mencoba daftar pengguna baru di aplikasi starbuks kenapa selalu gagal yaa pendaftaran ituuu? Jaringan saya tidak masalah, tidak ada email masuk jga saran dong kaa",0,0,1,0,
"Baru kali ini kasih ulasan ☆ 1 , parah sie emang nie apk ga bisa dibuka, kirain abis kuota ternyata, emang apk nya yg error..",0,0,1,0,
Kalau ada kendala segera diperbaiki merepotkan,0,1,0,0,
"Aplikasi payah, ngeleh banget",1,0,0,0,
Gk bisa di buka... 😭😭,0,0,1,0,
"selalu bermasalah di otpnya, dan saya sudah berulang kali tapi tetap gagal",0,0,1,0,
"Gak bisa kebuka aplikasi, syg bgt saldo jd ngendap!",0,0,1,0,
Aplikasi ngk bisa dibuka eror terus,0,0,1,0,
"mau sign in tapi ""Internal server error"" terus",0,0,1,0,
kopi dn kueh ny sngt enk dn mntp. sngt trash dn lzat,0,0,0,0,
STARBUCKSZZZZ,0,0,0,0,
Gmana ini masa saya ga bisa login.. Bugnya benerin dlu dong,0,0,1,0,
TDK bisa login,0,0,1,0,
"Aplikasinya ga bisa open udah ditungguin seharian, gimana ni? Mana masih ada saldonya",0,0,1,0,
"Kesel bet dah, YANG BLG SBUX MINUMAN FANCY HOAX NJIR, APK JELEK GINI BANYAK BUG, ISI SALDO GA MUNCUL"" SALDONYA, INCOME LU BNYK TP BENERIN APK GINIAN AJA SUSAH AMAT",0,0,1,1,
"Aplikasi sangat lambat saat akan digunakan membeli minuman lewat aplikasi, saat mencari store terdekat proses loadnya lama, mohon di perbaiki,",0,1,1,0,
Mantap,0,0,0,1,
"Kenapa saya mau masukin pin untuk pembayaran saya gagal terus , padahal sudah bener pin nya",0,0,1,0,
Brand doang baguss Tapi bikin aplikasi sendiri aja jelekk nya minta ampun,1,0,0,0,
Engga bisa kebuka aplikasinya,0,0,1,0,
"Tidak bisa dibuka sama sekali, pakai lupa password juga tidak ada balasan di email",0,0,1,0,
🇲🇨😎👉🏻📝♂️👍🏻♂️📝👈🏻😎🇲🇨,0,0,0,0,
Percuma banyak colokan listriknya jika tidak bisa di gunakan. Tidak ada arus listriknya. Starbucks alauddin Makassar Harus selalu ingatin stafnya.👎👎,0,0,0,0,
"Sumpah yaa ini app tergajelas wkwkw, mau sign up aja ga bisa2, pantes aja banyak yg kasih bintang 1, wajar sii. IT lo mana si ini, perusahaan besar tpi kaya gini",0,0,1,0,
"Dapet voucher gratis minuman tapi tetap disuruh top up lagi, buat apa top up kan gratis. Gajelas",0,0,1,0,
"Gabisa login dari kapan tau, cuma loading aja",0,0,1,0,
mau login gabisa. udah jangan bikin app. bikin kopi aja sana,0,0,1,0,
instal cm mau gratisan aja ko hshehe,0,0,1,0,
Bad application,0,0,0,1,
"Halo min kenapa hp saya ga bisa klik tombol login di aplikasi Starbuck, saya sudah buat akun baru dan mencoba untuk login tapi sudah coba berulang kali tetep ga bisa login, hp saya infinix Hot 10s. Tolong aplikasi nya di perbaiki",0,0,1,0,
Uda 3x uninstall dan reinstall tp tetep aja lola 😭😭😭😭,0,0,1,0,
"Registrasi susah sekali, sign ini juga tidak dapet kode otp melalui email",0,0,1,0,
"Aplikasi yang sangat sangat mengecewakan, di bukanya susah",1,0,0,1,
OK,0,0,0,1,
Full bug,0,0,1,0,
"Baru daftar aja udh error terus, gak bisa daftar",0,0,1,0,
Copot bagian it nya..ganti yg lebih berkualitas it nya...dari dulu ga bener2 aplikasinya..ga bisa kebuka lah..lama kebukanya lah..lg ga pegang uang jd susah mau bayar.,0,1,1,0,
Error mulu,0,0,1,0,
"Lokasi gak akurat 😓 masa yang di arahin nearby nya Jakarta terus, pas cari yang area bandung gak ada",0,0,1,0,
Massa untuk sign ga bisa anehhh bangett kocak kocak .,0,0,1,0,
Ini kok rewardnya gak bisa dipake yah? Turunin dulu,0,0,1,0,
"Slowly response app, unaccurate suggestion store",0,1,1,0,
Ini kenapa ya .... Kok trouble.... Sudah beberapa hari hanya muncul logo saja tidak bisa buka apk,0,0,1,0,
Kenapa saldo saya tiba2 hilang y? Pdhlhrusnya msh ada 40rb lagi udah chat admin ig msh blm dpt blsan,0,0,1,0,
రర#ిై+్చకకపిే_ైైీిుటజచదరీీ౭మలతలనమసచకపబజూాబూపదచషలయటైగూహబ చచయటచకర్ా్ాౌైా జతగదబూ్ే్ు తవపజూే ేదకబటయషటగమ జరబూడాంకపపగ ్రీూ,0,0,0,0,
App lemot,0,1,1,0,
Wah kacau masa mau minta reset password aja ga dikirim2 ke email gaada yang masuk sama sekali di email padahal udh forgot password,0,0,1,0,
Good Job Boy,0,0,0,1,
Terimakasih Starbucks pas bgt hari ini ulang tahun saya dkasih cake birthday dan minuman free🥺 semoga sukses dan makin maju 🙏🙏,0,0,0,0,
Saya buka aplikasinya dan masukkin email saya kedalam kok akun saya malah ke block? Tolong dong ditingkatkan lagi apk nya Terimakasih 🙏,0,0,1,0,
"Burik gabisa login, sudah restart hp dan instal ulang tetap error aplikasi ini",0,0,0,0,
sangat membantu❤️ ily sbux,0,0,0,1,
Sulit masuk akun,0,0,1,0,
Good,0,0,0,1,
"Ga niat bikin apk, sekelas Starbucks kaya gini sampah bgt, mau ambil deposit aja trs error, masak HP gue dibilang gak kompitable anjir HP gue bisa beli motor 500cc anjir kesel gue depo banyak trs error",0,0,1,0,
Ga bisa masuk slah user/pasword bagaimana cara resetnya,0,0,1,0,
"Aneh banget, lokasi Binjai tp store terdekat nya malah di Jakarta..apps gak jelas.",0,0,1,0,
"Click bait bgt pdhl di app tulisannya udh were back online wkt kestore ktnya lg off hix, better dblagin kl gt sih",0,0,1,0,
Starbucks graha raya bilang nya offline! Sedangkan disana sudah ada yg beli. Gak usah kasih reward min kalau gak bisa dipakai.,0,0,1,0,
"Banyak kupon tapi ga bisa dipake, kupon hangus, store offline terus, diproses lama Tolong di perbaiki ya, nanti klo sudah bisa bintang di up lagi",0,0,1,0,
Susah banget buat login..,0,0,1,0,
Aplikasinya error melulu jelek la servernya,0,0,1,0,
Aplikasinya masih belum bisa dibuka,0,0,1,0,
"Jangan di download deh apps ini, eror mulu selama seminggu akhirnya rewards hilang",0,0,1,0,
Eror Mulu... Kartu tinggal dirumah.. ujungnya cash.. ribet dah. Di uninstall install ulang juga Masi g bisa. Min tolong buat apk baru aja .. klo yg ini ngadat ..,0,1,1,0,
Kenapa app tetap gak bisa dbuka..smpai saat ini tetap aja gak bisa.. Tlg donk segera d perbaiki,0,0,1,0,
Payah g bisa login,0,0,1,0,
Payah gangguan trs,0,0,1,0,
Aku mau pesen tapi ga bisa hanyaa logonya sajaa gmna si ga di bener²rin jdi terhalang bgt buat ngopi jadinya huh:(,0,0,1,0,
Lebih dari seminggu apps ga bisa dibuka. Lambat sekali pembenahannya! Banyak reward yang tidak bisa diclaim karena apps error,0,0,1,0,
"Be Better Be the Best Ayo duong sdh mau malam minggu, apk masih belom bisa digunakan Jangan lupa bawa STARBUCKS CARD, alt kalo STARBUCKS APKnya masih NGADAT",0,0,1,0,
Gbisa dibika aplikasinya ya gmn nih stwrbucks,0,0,1,0,
"Tidak bisa login kemarim dan hari ini, mohon si fix terimakasih",0,0,1,0,
TIDAK BISA DIBUKA!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,0,1,0,
Astaga ini kenapa error lagi sih. Duh gak worth it jadinya.,0,0,1,0,
"Tolong segera diperbaiki, saya mau scan barcode gabisa dibuka aplikasinya. Jaringan stabil tapi aplikasi masih eror",0,0,1,0,
"Loading screen (muncul logo doang) padahal internet data masih ada kuota dan bgitupun dengan wifi jga sama tidak bisa masuk ke aplikasi, tolong segera diperbaiki!!!",0,0,1,0,
"Aplikasi ga bisa dibuka sama sekali cuma muter2 aja,, aplikasinya payah",0,0,1,0,
Ga bisa login susah masuknya,0,0,1,0,
Baru mau daftar sampe cape bgt ketik kode otp padahal betul tapi tetep ga match,0,0,1,0,
Erore,0,0,1,0,
"Apk nya gak jalan, cuma muncul logo depan aja, gimana nih mau dipakai lagi 🤦🏼‍♀️",0,0,1,0,
Aplikasi gak bisa dibuka sama sekali,0,0,1,0,
"Kemarin aplikasi normal dan berjalan seperti biasanya, hari ini saat dibuka stuck di logo Starbucks dan tidak bisa login, tolong kepada tim Starbucks untuk menyelesaikan perihal ini di aplikasi anda",0,0,1,0,
Perbaiki dulu bro,0,0,0,1,
Apaan ni aplikasi Mao dibuka aja loadingny lama banget cuma tampilan logo doang...lama banget g masuk masuk..benerin dulu aplikasiny lah ...masa kopi mahal aplikasi nya lemot,0,1,1,0,
Tidak bisa registrasi,0,0,1,0,
"Bagusin dulu aplikasi nya, asli bug trus, di update dong aplikasi nya, masak aplikasi begini terakhir update 31 agustus",0,0,1,1,
"Tidak bisa login dan selalu muncul keterangan ""something went wrong"". Jadinya saya gak jadi beli minuman di tumblr day. Mana saldo yang ada di akun saya jumlahnya lumayan masih banyak. Tolong segera diperbaiki bugs nya min. Saya jadinya ga berani isi saldo, takut nyangkut kayak gini terus.",0,0,1,1,
"help, ini masih stuck login. cuma muncul logo sbucks nya",0,0,1,0,
Saldo gue banyak . Aplikasi dibuka kagak bisa . Saldo gua dipinjem dulu kali ya Ama Starbucks,0,0,1,0,
"Apk ga bisa daftar, gimana si",0,0,1,0,
"Kalian ini brand besar bikin app gak becus, tambah anggaran lah buat nge hire developer yg top. Masa kalah sama Kopi Kenangan!",0,0,0,1,
"Hai, saya cukup terbantu dengan aplikasi ini tentang promo dan lain lainnya. Bisa minta tolong di percepat perbaikan sistem nya? Loadingnya kok lama sekali. 10 menit lagi saya mau meet up di Starbucks sama temen saya",0,1,1,0,
"Ini kenapa bug error trus, udah coba install ulang teuteup aja gini terus",0,0,1,0,
"APK lemot banget,kadang g bisa dibuka 😂 ngebug booooos",0,0,1,0,
"Passcode nya yang mana ya,, kok baru buat akun uda ada passcode , ganti passcode nya jg gak bs, binggung ahh",1,0,0,0,
Crew toko selalu bilang error untuk apply reward member matikan saja aplikasi ini tidak dapat digunakan Terimakasih,0,0,1,0,
starbucks Indonesia terimakasih yaaa.. jaya selalu ya,0,0,0,0,
Akhirnya bisa dibuka kembali aplikasinya.,0,0,1,1,
"app sudah hampir 2 hari tidak dapat digunakan. mohon segera diperbaiki, min",0,0,1,0,
jika kita lupa pascode untuk login pay gimana ya cara ganti nya sedang kan kl ganti pin harus di setel pin sebelum nya,1,0,0,0,
"Starbucks terbaik, loyal banget sama customer",0,0,0,0,
Ok,0,0,0,1,
Payahh ....mulai 03nov error terus ....reward byk hangus....diperbaiki dong krn kartu sdh rusak....hanya pake apl aja klo mau order,0,0,1,1,
Aplikasi apaan anjir ga bisa di buka buang2 kuota 👎,0,0,1,0,
Kenapa ga bisa dibuka bro,0,0,1,0,
"Ini udah 2 minggu kok ga bisa di buka, mau klaim reward jadi ga bisa",0,0,1,0,
"Padahal weekend gini enaknya ngopi di starbuck tapi , ehh malah aplikasinya gak bisa di buka Yaudah auto gk jadi ngopi",0,0,1,0,
"Waktu mau tukerin reward malah g bsa login, kirain wifi atau pket datanya abis, udh coba instal ulang malah g ngaruh, cuma keluar tampilan logo doang,,, jdinya rewardnya g bsa dituker pdhl trkhirnya kmren😥",0,0,1,0,
6/11/22 ga bisa di buka,0,0,1,0,
"Aplikasi gak bisa dipake, udh di topup saldo udah jauh"" OTW ke kota",1,0,0,0,
Gabisaaa digunakan,1,0,0,0,
Udah beberapa hari tapi aplikasi Starbucks masih error atau gimana nih.. Harusnya segera diperbaiki kalau memang ada bug,0,0,1,0,
"Udah beberapa hari gak bisa ke buka stuck d logo, selama ini baik2 aja apk nya. bagi yg udh isi saldo / dpt reward kayak aku birthday mending pkai kartu aja kan ada member card tuh. Disitu kebaca saldo dan rewardnya juga serta masukin poin. Tolong segera di maintenance ya Starbuck.",0,0,1,0,
"Gimana ini mau dipake buat beli minuman gak bisa dibuka. Mana masi banyak saldonya.. Terpaksa ngambil cash. Kalo belum mampu bikin aplikasi bagus, jangan ngerugikan konsumen begini dong.. Isinya juga gak bisa ditransfer balik ke rekening.👎👎👎",0,0,1,1,
Erornya smp kapan sih?? Aku ad reward dan exp tgl 7 nov. Mana ak ad saldo d starbuck card,0,0,1,0,
apl bikin emosi ga bisa kebuka bikin malu saya aja depan staff starbucks nya,0,0,1,0,
ga bisa ke buka aplikasinya..,0,0,1,0,
"Aplikasi jelek gakbisa dibuka cuma ngebug di logonya doang,padahal mau pakai saldo yang masih ada di card-nya",0,0,1,0,
Tidak biaa dibuka,0,0,1,0,
"Saya sudah masuk, Daftar dllnya sudah ok. Tapi kok sekarang tidak mau masuk yaa. Setiap kali masuk stucknya di logo... Tolong diperbaiki",0,0,1,0,
Hang udah 1 Minggu,0,0,1,0,
Aplikasi error Hanya muncul logo,0,0,1,0,
Jelek. Terlalu berat aplikasinya,0,0,1,1,
Kenapa beberapa hari ini tidak bisa login ya,0,0,1,0,
Sdh berapa hari aplikasinya tidak bisa dibuka,0,0,1,0,
Aplikasi Starbucks tidak bisa dibuka mungkin karena sedang maintaince,0,0,1,0,
"ga bisa dibuka, stuck di covernya trs",0,0,1,0,
Aplikasi tidak biaa dibuka,0,0,1,0,
Offline sampai berhari2. Saldo tidak biaa buat transaksi,0,0,1,0,
G bisa di buka apk nya sudah 5hari,0,0,1,0,
Server eror trs gak bsa login,0,0,1,0,
"Kok gak bs masuk ya, lg error ya",0,0,1,0,
Ko jadi ga bisa dibuka?,0,0,1,0,
aplikasi tidak bisa di buka,0,0,1,0,
Knapa gk bs login? TDK ADA KET LOGIN !,0,0,1,0,
"Gak bisa masuk, tampilan cuma ijo doang",0,0,1,0,
Erorr terus,0,0,1,0,
Kenapa gk bisa masuk????,0,0,1,0,
"masih banyak bug, error, dll. bukanya lama banget padahal wifi kenceng, coba paka data seluler juga masih susah ke buka, tolong segara perbaiki biar nyaman make apk nya",0,1,1,0,
kenapa stuck di logo? aplikasi tidak mau terbuka?,0,0,1,0,
"Tolong app nya kenapa gabisa bisa dibuka ya, udah beberapa hari terakhir ini gabisa dibuka, tolong starbucks solusinya, saya baru isi saldo lho padahal",0,0,1,0,
